hello,hola,bonjour
goodbye,adios,au revoir
yes,si,oui
no,no,non
thankyou,gracias,merci
sorry,lo siento,pardon
help,ayuda,aidez-moi
friend,amigo,ami
family,familia,famille
love,amor,amour
hate,odio,haine
happy,feliz,heureux
sad,triste,triste
angry,enojado,fache
fear,miedo,peur
courage,coraje,courage
hope,esperanza,espoir
faith,fe,foi
strength,fuerza,force
weakness,debilidad,faiblesse
trust,confianza,confiance
believe,creer,croire
doubt,duda,doute
dream,sueño,reve
reality,realidad,realite
time,tiempo,temps
space,espacio,espace
money,dinero,argent
work,trabajo,travail
play,jugar,jouer
eat,comer,manger
drink,beber,boire
sleep,dormir,dormir
wake up,despertar,reveiller
read,leer,lire
write,escribir,ecrire
speak,hablar,parler
listen,escuchar,ecouter
learn,aprender,apprendre
teach,enseñar,enseigner
study,estudiar,etudier
understand,entender,comprendre
know,saber,savoir
believe,creer,croire
see,ver,voir
hear,oír,entendre
touch,tocar,toucher
feel,sentir,sentir
chicken,pollo,poulet
dog,perro,chien
homework,tarea,devoirs
house,casa,loger
town,pueblo,ville
woman,mujer,femme
is,es,est
my,mi,mon
